Collection_year,Region,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Trophic_level,log_weight,Wet_dry,Raw_cooked,log_mean_mehg,Precipitation_yearsum_mm,Ten_metre_wind_speed,Potential_evaporation_m,Surface_net_downward_shortwave_flux,log_hg_em_lag2,log_co2_em,log_ch4_em,Two_m_temperature_yearmax_runmean_K
2011,North_East_China,River,Wild,Freshwater,Finfish,Omnivore,2,1.581757357,Wet,Raw,1.650078515,610.7186526,2.986809492,-0.002290159,10537757,2.694226912,3.578541815,1.785112644,301.4104919
2011,North_East_China,River,Wild,Freshwater,Finfish,Omnivore,2,1.599922285,Wet,Raw,1.855397499,610.7186526,2.986809492,-0.002290159,10537757,2.694226912,3.578541815,1.785112644,301.4104919
2011,North_East_China,River,Wild,Freshwater,Finfish,Carnivore,3.5,2.441718859,Wet,Raw,1.920215045,610.7186526,2.986809492,-0.002290159,10537757,2.694226912,3.578541815,1.785112644,301.4104919
2011,North_East_China,River,Wild,Freshwater,Finfish,Omnivore,3.1,2.348737568,Wet,Raw,1.823867199,610.7186526,2.986809492,-0.002290159,10537757,2.694226912,3.578541815,1.785112644,301.4104919
2011,North_East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.404082519,Wet,Raw,1.643206083,610.7186526,2.986809492,-0.002290159,10537757,2.694226912,3.578541815,1.785112644,301.4104919
2011,North_East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.4599892,Wet,Raw,2.099177245,610.7186526,2.986809492,-0.002290159,10537757,2.694226912,3.578541815,1.785112644,301.4104919
2011,North_East_China,River,Wild,Freshwater,Finfish,Carnivore,3.5,2.423088134,Wet,Raw,1.912598067,610.7186526,2.986809492,-0.002290159,10537757,2.694226912,3.578541815,1.785112644,301.4104919
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,2,2.942008053,Dry,Raw,1.554248724,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.3,2.753659647,Dry,Raw,1.225718994,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Herbivore,2,2.354300562,Dry,Raw,1.845724277,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,3.1,2.24674471,Dry,Raw,1.714949447,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,3.1,2.813981076,Dry,Raw,1.791102808,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,2,2.973404974,Dry,Raw,1.54012273,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,2.8,1.532754379,Dry,Raw,1.969478073,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Herbivore,2,0.924279286,Dry,Raw,1.568002939,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,2.8,3.124830149,Dry,Raw,1.661022271,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,3.3,1.820857989,Dry,Raw,1.251218196,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.4,0.342422681,Dry,Raw,1.637790448,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.5,1.827369273,Dry,Raw,1.714949447,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.1,0.826074803,Dry,Raw,2.285690071,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,3,1.551449998,Dry,Raw,1.525604297,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.5,2.329397879,Dry,Raw,1.525604297,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,4.4,2.14082218,Dry,Raw,1.891531387,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,3.3,2.471291711,Dry,Raw,2.028931877,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,3,0.380211242,Dry,Raw,1.392152461,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Omnivore,3.3,2.587710965,Dry,Raw,1.554248724,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.2,1.503790683,Dry,Raw,1.510670996,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.4,2.1532049,Dry,Raw,1.495298418,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Carnivore,4.4,2.848189117,Dry,Raw,2.567242516,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2009,East_China,Lake,Wild,Freshwater,Finfish,Herbivore,2,0.954242509,Dry,Raw,1.331781963,1586.361453,4.024343967,-0.000727342,13786081,2.684868302,4.068892038,2.929206254,305.7474365
2012,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,2,3.131939295,Wet,Raw,1.267381413,920.4327129,1.134923577,-0.002539556,10987637,2.70467092,4.396063268,2.388584267,306.2651672
2012,South_West_China,River,Wild,Freshwater,Finfish,Carnivore,3.3,3.194514342,Wet,Raw,1.097573864,920.4327129,1.134923577,-0.002539556,10987637,2.70467092,4.396063268,2.388584267,306.2651672
