Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.223044972
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,10.55118894
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.535180154
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.301694759
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
