Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,2.06069784
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.939519253
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.934498451
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.113943352
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.57863921
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.342422681
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.041392685
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.380211242
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,-1
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.079181246
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.963315511
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.176091259
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.146128036
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.798724183
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.115498047
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.766879896
2017,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.771587481
2017,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.600972896
2017,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.123524981
2017,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.485721426
2016,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.633468456
2016,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.723455672
2013,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.607202585
2013,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.316518715
2013,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.670096668
2013,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.250020573
2017,Wetland,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.346948249
2018,Lake,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.718999638
2018,Lake,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.918764031
2018,Lake,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.718999638
2018,Lake,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.879611907
